BFE,SI,FRI,SE,CBD,AE,AR,NAS,CPS,PD,9COH,9UYS,9MPS,9FF,9AIF,6COH,6UYS,6MPS,6FF,6AIF,WFA,Class
-0.054859423,0.13346076,-0.152119696,-0.288027585,-0.194435015,-0.268458808,0.000690244,0.463973571,-0.347909919,-0.324367304,-0.006138822,0.033750673,0.421863325,-0.228735876,0.592873049,-0.591997644,-0.477195987,-0.111758609,-0.160572054,0.278270143,-0.290529799,1
-0.079034684,-0.630701732,-0.095902468,-0.204723696,-0.332323002,-0.259211163,-0.035288766,0.692472011,-0.314217089,-0.208651509,-0.540670034,-0.515090013,-0.0657762,-0.163907408,0.323503001,-0.299109717,-0.28749428,0.024839577,-0.321430659,0.114646949,-0.290529799,1
-0.052287587,-0.850529298,-0.095902468,-0.262879241,-0.194435015,-0.264768138,0.00142451,0.623106413,-0.443934486,-0.310638312,-0.759618343,-0.715754478,0.073549379,0.163714095,0.695047895,-0.674125003,-0.527088094,0.086929661,0.015415287,0.550975466,-0.694065345,1
-0.060517463,-0.460597068,-0.168181761,-0.398051591,-0.245742173,-0.270964689,0.136529367,0.680231023,-0.51426827,-0.331558682,-0.733939221,-0.697921484,-0.135438989,0.044262715,0.323503001,-0.751700724,-0.591501038,-0.157291338,0.463102383,0.087376416,-0.627426447,1
0.458742224,-0.42896275,-0.218460248,-0.317231184,-0.467359074,-0.194636889,-0.126914029,-0.150098052,-0.554860351,-0.391763826,-0.750774446,-0.727658638,0.066815475,0.070189079,0.488643978,-0.820314146,-0.645598175,0.055426003,0.46378555,0.338785944,-0.331327971,1
0.451870045,-0.468165072,-0.211957325,-0.321049289,-0.492026213,-0.194938278,-0.097037757,-0.115406661,-0.564920553,-0.393113711,-0.690036967,-0.677890363,0.032970881,0.056854495,0.413431742,-0.755816652,-0.601506142,0.026936353,0.335409437,0.35350702,-0.271373373,1
0.46394842,-0.361153328,-0.192448557,-0.317867535,-0.449183287,-0.19484489,-0.120225312,-0.240956456,-0.57532178,-0.398751466,-0.624922011,-0.630224973,0.032970881,0.05065673,0.319416446,-0.660873136,-0.538948215,0.094808755,0.295284089,0.324064868,-0.444813459,1
0.461449445,-0.339962883,-0.284139766,-0.273322977,-0.442691935,-0.195294852,-0.088268106,0.041530582,-0.565773113,-0.375565207,-0.873590006,-0.842784575,-0.062922135,0.671372252,0.398389294,-0.811500823,-0.641000544,0.049560487,0.437535322,0.283581909,-0.258525959,1
0.461241198,-0.489355516,-0.17293979,-0.251687048,-0.427112689,-0.191181522,-0.171802756,-0.088975125,-0.51905285,-0.37344774,-0.741745902,-0.703124982,0.179630789,0.067700583,0.691717018,-0.835136551,-0.652381565,0.111567373,0.533786157,0.522799394,-0.513332999,1
0.459366967,-0.489355516,-0.176191251,-0.271413924,-0.472552156,-0.195575017,-0.102388732,-0.17983353,-0.521951552,-0.389593423,-0.841880665,-0.812685283,-0.000873713,0.156769974,0.499925814,-0.791871151,-0.626680055,0.060453589,0.387534889,0.331425406,-0.519756706,1
